RACE_Species_Code,FMA_SPECIES_CODE,SPECIES_NAME
68560,4,BAIRDI TANNER CRAB
68580,5,OPILIO TANNER CRAB
69323,6,BLUE KING CRAB
69310,8,BROWN (GOLDEN) KING CRAB
69322,13,RED KING CRAB
69300,16,COUESI KING CRAB
68550,18,TANNERI TANNER CRAB
68570,19,ANGULATUS TANNER CRAB
68590,47,HYBRID TANNER CRAB
79000,50,SQUID UNIDENTIFIED
320,62,PACIFIC SLEEPER SHARK
180,63,THRESHER SHARK
332,64,SOUPFIN SHARK
310,66,SPINY DOGFISH SHARK
232,67,SALMON SHARK
351,69,BLUE SHARK
21230,82,GIANT GRENADIER
472,85,ALEUTIAN SKATE
471,88,ALASKA SKATE
460,89,ROUGHTAIL SKATE
420,94,BIG SKATE
440,95,LONGNOSE SKATE
435,97,BERING SKATE
10120,101,PACIFIC HALIBUT
10115,102,TURBOT (GREENLAND)
10130,103,FLATHEAD SOLE
10260,104,ROCK SOLE UNIDENTIFIED
10200,105,REX SOLE
10285,106,ALASKA PLAICE
10180,107,DOVER SOLE
10270,109,BUTTER SOLE
10261,120,NORTHERN ROCK SOLE
10262,121,SOUTHERN ROCK SOLE
10210,140,YELLOWFIN SOLE
10110,141,ARROWTOOTH FLOUNDER
10112,147,KAMCHATKA FLOUNDER
405,159,SOFT SNOUT SKATE
485,162,WHITEBROW SKATE
475,163,COMMANDER SKATE
480,164,WHITEBLOTCHED SKATE
455,165,MUD SKATE
404,167,STIFF SNOUT SKATE
0,199,PACIFIC MACKEREL
21740,201,POLLOCK
21720,202,PACIFIC COD
20510,203,SABLEFISH (BLACKCOD)
21921,204,ATKA MACKEREL
22500,206,PACIFIC HAKE
20952,207,JACK MACKEREL
23202,220,SALMON UNIDENTIFIED
23235,221,CHUM SALMON
23220,222,CHINOOK SALMON
23225,223,COHO SALMON
23240,224,SOCKEYE SALMON
23230,225,PINK SALMON
25100,230,STURGEON UNIDENTIFIED
25120,231,GREEN STURGEON
30060,301,PACIFIC OCEAN PERCH
30400,302,BOCACCIO ROCKFISH
30420,303,NORTHERN ROCKFISH
30220,305,WIDOW ROCKFISH
30051,307,ROUGHEYE ROCKFISH
30170,311,DARK BLOTCHED ROCKFISH
30410,314,CANARY ROCKFISH
30290,318,SHORTBELLY ROCKFISH
30240,321,YELLOWTAIL ROCKFISH
30470,322,YELLOWEYE ROCKFISH
30576,326,SHORTRAKER ROCKFISH
30152,330,DUSKY ROCKFISH
30151,345,DARK ROCKFISH
30020,350,SHORTSPINE THORNYHEAD
30030,352,LONGSPINE THORNYHEAD ROCKFISH
21368,398,WARTY SCULPIN
21371,399,PLAIN SCULPIN
21420,402,BIGMOUTH SCULPIN
21370,405,GREAT SCULPIN
21347,414,YELLOW IRISH LORD
79265,511,HUMBOLDT SQUID
